S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
115,Annual motorcycle event in Newark,"Newark, New Jersey",5/10/2015,opening of motorcycle season,Open,random,terrorism,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.",1,3,4,0,,,,Unknown,Black American or African American,Male,40.73169648,-74.18417699
116,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,"Menasha, Wisconsin",5/3/2015,bridge,Open,random,,"On May 3, 2015, an argument with his ex-fiance likely motivated a university student to randomly shoot four people  on a bridge at a park Sunday night, three fatally. Then  the gunman also shot and killed himself.",4,1,4,0,,,,Yes,Unknown,Male,44.20455909,-88.4484585
117,Milwaukee,"Milwaukee, Wisconsin",5/1/2015,street,Open,random,domestic dispute,"dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been â€œplanning something like that for six months.""",2,3,5,0,,,,No,Unknown,Male,43.06420322,-87.96724385
118,Gates Pub,"Gates, New York",4/25/2015,Gates Pub,Close,random,terrorism,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.",1,6,7,0,,,,Unknown,Black American or African American,Male,43.15693027,-77.69300856
119,Killeen,"Killeen, Texas",4/21/2015,Village West Apartments,Close,random,,"On April 21, 2015, the man fatally shot two women and wounded three others at the Village West Apartments. ",2,3,5,0,,,,Unknown,Black American or African American,Male,31.07925506,-97.73392317
120,Phoenix,"Phoenix, Arizona",4/16/2015,,,Family,,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.",5,0,4,0,,,,Unknown,Some other race,Male,33.57145875,-112.0904854
121,Rome,"Rome, Georgia",4/7/2015,street,Open,random,,"On April 7, 2015, the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim, killing him. Police said at least two men intended to rob people at the Copeland Street home.",1,3,4,0,,,,No,Black American or African American,Male,34.26779152,-85.18822422
122,Indianapolis,"Indianapolis, Indiana",4/5/2015,Home,Close,random,,"On Sunday  evening of April 5, three suspects entered the apartment, fired multiple shots, and then fled the scene. Five people were injured, three of them were children. One of three suspects was arrested.",0,5,5,0,,,,No,Unknown,Male,39.77725479,-86.14635359
123,Daytona Beach,"Daytona Beach, Florida",4/3/2015,Home,Close,random,,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.",0,4,4,0,,,,No,Black American or African American,Male,29.19313443,-81.10173014
124,Tulsa,"Tulsa, Oklahoma",3/30/2015,Home,Close,Family,,"On March 30, 2015, police discovered four bodies of a family, including two young boys, inside a home in Tulsa, Oklahoma on Wednesday in what appeared to be a murder-suicide. Officers discovered the bodies Wednesday afternoon as they conducted a welfare check requested by the mother's employer who was concerned after the woman failed to show up for work or call in sick for two days. A handgun was found near the father's body. ",4,0,3,0,,,,Unknown,Asian American,Male,36.13543238,-95.91316117
