S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
21,Alabama highway random shooting,,4/19/2016,along a highway ,Open,random,,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",1,4,4,0,,,,Yes,White American or European American,Male,34.16204,-86.475543
22,Long Beach Street murder,,4/18/2016,at street corner,Open,random,terrorism,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",0,3,4,0,,,,Unknown,Unknown,Unknown,33.77005,-118.193739
23,"Albuquerque, NM House party shooting",,4/9/2016,at party,Close,uninvited guests,anger,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,0,4,4,0,,,,Unknown,White American or European American,Male,35.085334,-106.605553
24,"Memphis, TN gas station shooting",,4/9/2016,at gas station,Open,random,anger,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,0,4,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
25,Chicago Birthday Party Bus Shooting,,4/7/2016,south shore,Open,birthday party bus,,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,0,5,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
26,"Albuquerque, NM Family restaurant shooting",,4/1/2016,restaurant,Close,Family,,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,3,1,3,0,,,,Unknown,Asian American,Male,35.085334,-106.605553
27,"Richmond, Virginia","Richmond, Virginia",3/31/2016,bus station,Open,Trooper,frustration,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooper’s immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",2,2,3,0,,,,Unknown,Black American or African American,Male,37.540725,-77.436048
28,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,,,,terrorism,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday — the day before the shootings.",3,0,3,,,,,Unknown,Black American or African American,Male,36.099039,-78.301106
29,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,in home,Close,Family,domestic dispute,The man was suspected of shooting his wife and two sons on Friday morning at the family’s home. All three victims were initially shot inside the residence with a shotgun.,2,2,3,0,,,,Unknown,Unknown,Male,35.242302,-87.334739
30,"Greenhill, AL Family murder-suicide",,3/25/2016,home in rural Alabama,Close,Family,domestic dispute,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",2,2,3,0,,,,Yes,White American or European American,Male,34.759257,-86.602493
31,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",3/21/2016,,,Family,domestic dispute,"A man shot and killed his wife and two boys, then he turned the gun on himself.",4,0,3,0,,,,Unknown,Unknown,Male,33.635662,-96.60888
32,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",3/20/2016,Home,Close,Family,domestic dispute,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,4,0,3,0,,1,Military,Yes,White American or European American,Male,38.252665,-85.758456
33,"Plantation, Florida","Plantation, Florida",3/19/2016,Home,Close,party guests,,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,1,4,5,0,,,,Unknown,Unknown,Unknown,26.127586,-80.233104
34,Wetumpka Drive-by,"Wetumpka, Alabama",3/19/2016,"drive-by in Wetumpka, Alabama",Open,random,terrorism,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",2,2,4,0,,,,Unknown,Black American or African American,Male,32.543745,-86.211913
35,Atlanta Nightclub shooting,,3/15/2016,outside nightclub,Open,random,anger,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,0,4,4,0,,,,Unknown,Unknown,Unknown,33.748995,-84.387982
36,Florida Family celebration ends in shooting,,3/13/2016,,,Family,,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",0,4,4,0,,,,Unknown,Unknown,Unknown,26.640628,-81.872308
37,"Elberton, Georgia murder-suicide",,3/12/2016,,Open,Family,domestic dispute,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",2,2,3,0,,,,Unknown,Unknown,Male,34.111223,-82.867084
38,"Trenton, NJ sidewalk shooting",,3/11/2016,"outside of an apartment complex in Trenton, NJ",Open,random,,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",0,5,5,0,,,,Unknown,Unknown,Unknown,40.217053,-74.742938
39,Detroit Drive-by,,3/11/2016,,Open,random,,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,2,2,4,0,,,,Unknown,Unknown,Unknown,42.331427,-83.045754
40,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",3/9/2016,backyard of a house,Open,random,terrorism,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman’s 8-month-old fetus a homicide and raised the number of fatalities to six.",6,3,9,0,,,,Unknown,Unknown,Male,40.440625,-79.995886
41,Wilkinsburg BBQ cookout shootout,,3/9/2016,backyard of a house,Open,random,terrorism,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",5,3,8,0,,,,Unknown,Unknown,Male,40.441736,-79.881994
42,"Kansas City, Kansas","Kansas City, Kansas",3/7/2016,Home,Close,neighbors,,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",5,0,5,0,,,,Unknown,Some other race,Male,39.114053,-94.627464
43,"Lafayette, LA drive by",,3/7/2016,drive-by on MLK boulevard in Lafayette,Open,random,,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",0,4,4,0,,,,Unknown,Unknown,Unknown,30.22409,-92.019843
44,Kansas City Home Invasion,,3/7/2016,Home,Close,neighbors,,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",4,0,4,0,,,,Unknown,Some other race,Male,39.114053,-94.627464
45,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",3/6/2016,apartment in Chelsea,Close,party guests,terrorism,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",1,6,7,0,,,,Unknown,Some other race,Male,42.391764,-71.032828
46,"Roswell, GA Hookah shootout",,3/6/2016,,Open,random,anger,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",0,4,4,0,,,,Unknown,Black American or African American,Male,34.023243,-84.361556
47,Wichita Nightclub shooting,,3/5/2016,outside the club,Open,random,anger,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,0,4,4,0,,,,Unknown,Unknown,Unknown,37.687176,-97.330053
48,Detroit Strip Club Shootout,,2/28/2016,outside the club,Open,club members,anger,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",0,5,5,0,,,,Unknown,Black American or African American,Male,42.331427,-83.045754
49,Riverside restaurant shooting,,2/28/2016,restaurant parking,Open,random,,Shooter fired upon group of people in a restaurant parking lot,1,3,4,0,,,,Unknown,Some other race,Male,33.997197,-117.48548
50,"Woodbridge, Virginia","Woodbridge,  Virginia",2/27/2016,outside the house,Open,random,,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2,2,4,3,,,,Unknown,Black American or African American,Male,38.6697,-77.3524
51,"Belfair, Washington","Belfair, Washington",2/26/2016,Home,Close,Family,domestic dispute,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",5,0,4,0,,,,Unknown,White American or European American,Male,47.5033,-122.931
52,Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,workplace,Close,random,,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,0,,1,manufacturing company,Unclear,Black,M,,
53,"Hesston, Kansas","Hesston, Kansas",2/25/2016,,Open,random,psycho,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",4,14,17,0,,1,factory,Unknown,Black American or African American,Male,38.1368,-97.4268
54,"Belfair, WA Family murder-suicide",,2/25/2016,Home,Close,Family,psycho,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",5,0,4,0,,,,Unknown,White American or European American,Male,47.451459,-122.826946
55,Arizona Family Murder,"Glendale, Arizona",2/23/2016,Home,Close,Family,psycho,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,5,0,4,0,,,,Unknown,White American or European American,Male,33.448377,-112.074037
56,Missouri Highway shooting,,2/21/2016,interstate in Hazelwood,Open,random,,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",1,3,4,0,,,,Unknown,Black American or African American,Male,38.77144,-90.370949
57,Houston Drive-by,,2/21/2016,,Open,random,,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",0,5,5,0,,,,Unknown,Unknown,Unknown,29.760427,-95.369803
58,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,restaurant parking,Open,random,,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,0,,1,uber,Unclear,White,M,,
59,"Iuka, Mississippi","Iuka, Mississippi",2/20/2016,outside the house,Open,Policeman,domestic dispute,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2,3,4,1,,,,Unknown,White American or European American,Male,34.7404,-88.1383
60,Florida Hookah Bar Shooting,,2/20/2016,hookah bar parking,Open,random,anger,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",1,3,4,0,,,,Unknown,Unknown,Unknown,27.950575,-82.457178
61,Kalamazoo Uber Driver Spree Killing,,2/20/2016,,Open,random,,An Uber driver fired upon people in three locations over the course of about 6 hours.,6,2,8,0,,1,uber,No,White American or European American,Male,42.291707,-85.587229
62,"Vallejo, CA car shooting",,2/19/2016,,Open,random,,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",2,2,4,0,,,,Unknown,Unknown,Unknown,38.104086,-122.256637
63,Michigan school shooting,,2/9/2016,outside gym,Open,random,psycho,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",0,3,3,0,,,,Unknown,Black American or African American,Male,43.201126,-86.238946
64,"Orlando, Florida","Orlando, Florida",2/7/2016,nightclub,Close,random,terrorism,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2,10,12,0,,,,Unknown,Some other race,Male,28.4541,-81.4646
65,Nightclub fight turns into shootout,,2/7/2016,nightclub,Close,random,anger,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",1,7,8,0,,,,Unknown,Unknown,Unknown,43.16103,-77.610922
66,"Tampa, FL Strip club shooting",,2/6/2016,strip club,Close,random,,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",2,6,8,0,,,,Unknown,Unknown,Unknown,27.950575,-82.457178
67,"Los Angeles, CA street shooting",,2/6/2016,,Open,random,,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",1,3,4,0,,,,Unknown,Unknown,Unknown,34.052234,-118.243685
68,Texas teen commits family murder suicide,,2/6/2016,,Close,Family/Neighbors,psycho,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,0,,,,Unknown,White American or European American,Male,29.209684,-99.786168
69,New Orleans gas station shoot-out,,1/31/2016,gas station,Open,random,anger,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",0,3,3,0,,,,Unknown,Black American or African American,Male,29.951066,-90.071532
70,"Glendale, AZ House Party shooting",,1/30/2016,Home,Close,random,anger,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",3,5,8,0,,,,Unknown,Unknown,Male,33.538652,-112.185987
71,"Caroline County, VA Family Murder Suicide",,1/29/2016,,,Family,psycho,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,0,42,,,Unknown,Unknown,Male,38.044556,-77.286488
72,"Chesapeake, Virginia","Chesapeake, Virginia",1/27/2016,Home,Close,Family,psycho,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",6,0,5,0,,,,Yes,White American or European American,Male,36.7921,-76.3293
73,"Perris, CA Mexican restaurant shooting",,1/25/2016,restaurant,Close,random,,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,1,4,5,0,,,,Unknown,Unknown,Male,33.782519,-117.228648
74,Florida family murder,,1/23/2016,,,Family,,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",3,0,3,0,,,,Unknown,White American or European American,Male,30.754181,-86.572799
75,Los Angeles Drive-by,,1/23/2016,outside of liquor store,Open,random,terrorism,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",2,2,4,0,,,,Unknown,Unknown,Unknown,34.052234,-118.243685
76,"Gloucester County, VA, House Party",,1/17/2016,Home,Close,party guests,,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",1,3,4,0,,,,Unknown,Black American or African American,Male,37.40264,-76.458559
77,"Wilmington, DE robbery",,1/11/2016,Home,Close,random,,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",1,4,5,0,,,,Unknown,Black American or African American,Male,39.739072,-75.539788
78,"Roadside in Memphis, Tennessee",,1/7/2016,,Open,random,,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,1,3,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
79,"Residence in Lakeland, Florida",,1/6/2016,Home,Close,drug dealer,,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,3,1,4,0,,,,Unknown,Black American or African American,Male,28.039465,-81.949804
80,"Omaha, Nebraska","Omaha, Nebraska",12/6/2015,,,random,,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,2,3,5,0,,,,Unknown,Black American or African American,Male,41.3138,-96.0814
81,San Bernardino mass shooting,"San Bernardino, California",12/2/2015,Christmas Party,Close,random,terrorism,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,0,,,,Unclear,Other,M/F,,
82,"San Bernardino, California","San Bernardino, California",12/2/2015,conference room,Close,party guests,terrorism,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",16,21,35,0,,1,county health department,Unknown,Asian American,Male/Female,34.13973446,-117.2942444
83,Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,health clinic,Close,random,,"police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",3,9,12,1,57,,,Unclear,White,M,,
84,"Columbus, Ohio","Columbus, Ohio",11/23/2015,Home,Close,neighbors,,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",4,1,4,0,,,,Unknown,White American or European American,Male,39.98861445,-82.98904135
85,"Minneapolis, Minnesota","Minneapolis, Minnesota",11/23/2015,Black Lives Matter encampment,Open,protestors,racism,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",0,5,5,0,,,,Unknown,White American or European American,Male,44.96358722,-93.26783687
86,"Tennessee Colony, Texas","Tennessee Colony, Texas",11/15/2015,private campsite,Open,random,,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",6,0,6,0,,,,Unknown,White American or European American,Male,31.8076,-95.8069
87,"Jacksonville, Florida","Jacksonville, Florida",11/13/2015,Home,Close,Family,domestic dispute,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",4,1,4,0,,,former military,Unknown,Black American or African American,Male,30.33216122,-81.67576993
88,"Waycross, GA","Waycross, Georgia",11/7/2015,,,Family,psycho,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",1,2,3,0,,,,Yes,Black American or African American,Male,31.21094544,-82.35793452
89,"Oakland, Maine","Oakland, Maine",11/4/2015,Home,Close,Family,domestic dispute,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",4,0,3,0,,,,Unknown,Unknown,Male,44.54994725,-69.70782299
90,Colorado Springs,"Colorado Springs, Colorado",10/31/2015,sidewalk,Open,random,terrorism,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",4,0,3,0,,,,Unknown,White American or European American,Male,38.86730659,-104.7572279
91,"Colerain Township, Ohio","Colerain Township, Ohio",10/21/2015,Colerain Township,,Family,,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",2,1,3,0,,,,Unknown,White American or European American,Male,39.253268,-84.599655
92,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",10/9/2015,Northern Arizona University,Open,Students,anger,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",1,3,4,0,,,,Unknown,White American or European American,Male,35.1725658,-111.6585435
93,Umpqua Community College,"Roseburg, Oregon",10/1/2015,Community College Classroom,Close,Students,terrorism,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",10,7,16,0,,,,Unknown,Two or more races,Male,43.22205555,-123.3522367
94,"Inglis, Florida","Inglis, Florida",10/1/2015,,Open,Ex-Wife,anger,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",3,1,3,0,57,,,Unknown,White American or European American,Male,29.03270634,-82.65919302
95,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",9/27/2015,Club,Close,random,,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,0,10,10,0,,,,Unknown,Black American or African American,Male,33.02912644,-84.7143335
